Relatório de Monitoramento do OCA 2º quadrimestre 2015;;;;;;;;;;;;;;;;;;;;;;;;
classif01;desc_classif01;classif02;desc_classif02;classif03;desc_classif03;funcao;nome_funcao;subfuncao;nome_subfuncao;programa;nome_programa;projativ;nome_projativ;subitem_projativ;nome_subitem_projativ;indice_proporcionalidade;valor_credito_inicial;valor_orcado;valor_empenhado;valor_liquidado;valor_pago;valor_empenhado_acumulado;valor_liquidado_acumulado;valor_pago_acumulado
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;10000;0;0;0;25000;25000;25000
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;10;Presépios e Folias;0.25;0;42000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2369;Gestão da Lei Municipal de Incentivo à Cultura;1;Incentivos a Projetos Culturais;0.25;0;2575000;40017.175;39834.7;261266.225;468141.0025;445740.2775;380526.9025
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;1;Fomento à Produção e Difusão Cultural;0.25;0;1722500;626838.0725;479540.7875;403490.7875;1055181.365;906153.895;790103.895
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;2;Iniciativas de Formação e Qualificação na Área Cultural;0.25;0;158500;10000;13750;13750;13750;13750;13750
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;EX;EX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;3;Projeto Arena da Cultura / Escola Livre de Artes;1;0;7429680;0;916700.49;201767.56;916700.49;916700.49;201767.56
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;5;Promoção de Festival, Encontro e Mostra de Arte e Cultura;0.25;0;112500;0;0;50000;50000;50000;50000
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1215;Construção, Ampliação e Reforma de Unidades de Cultura;1;Construção, Ampliação e Reforma de Unidades de Cultura;0.25;0;2338439;0;0;0;133428.255;133428.255;133428.255
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;2;Implantação do Espaço Cênico Alípio de Melo;0.25;0;22500;29320;33820;40911.25;45411.25;45411.25;40911.25
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;4;Implantação do Centro Cultural Bairro das Indústrias;0.25;0;15000;1289.9375;1069.2875;1069.2875;1289.9375;1069.2875;1069.2875
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;6;Implantação do Espaço Multiuso no Parque Municipal;0.25;0;8750;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;9;Reimplantação do Centro Cultural Liberalino Alves de Oliveira  em conjunto com a Biblioteca São Cristóvão;0.25;0;55377;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;1;Fomento à Produção e Difusão Cultural;0.25;0;85500;102495.5275;102495.5275;56770.2775;102495.5275;102495.5275;56770.2775
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;5;Promoção de Festival, Encontro e Mostra de Arte e Cultura;0.25;0;100000;55000;55000;55000;55000;55000;55000
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;7;"Realização do Concurso  de Literatura  ""Cidade de Belo Horizonte """;0.25;0;50000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;12;Criação do Prêmio Escultura na Praça;0.25;0;40500;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;16;Realização do Festival Internacional de Quadrinhos de BH - FIQ;0.25;0;250000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;18;Realização da Virada Cultural;0.25;0;375000;195625;195625;129112.45;195625;195625;129112.45
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;19;Realização do  Festival de Arte Negra - FAN;0.25;0;375000;0;0;50000;131618.5;131618.5;50000
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;21;Criação do Cadastro Único de Cultura;0.25;0;50000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;CUL;SUB-EIXO: CULTURA;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;2371;Fomento e Estímulo à Cultura;25;Pré-Produção do Festival Internacional de Teatro Palco e Rua de BH - FIT;0.25;0;62500;0;0;0;41806.75;41806.75;41806.75
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;DLA;SUB-EIXO: DESPORTO E LAZER;EX;EX;27;Desporto e Lazer;811;Desporto de Rendimento;101;Promoção e Democratização das Práticas de Esportes e Lazer;2866;Esporte de Rendimento;4;BH Descobrindo Talentos no Futebol;1;0;576000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;DLA;SUB-EIXO: DESPORTO E LAZER;NEX;"NEX";27;Desporto e Lazer;811;Desporto de Rendimento;101;Promoção e Democratização das Práticas de Esportes e Lazer;2866;Esporte de Rendimento;15;Programa Minas Olímpica Oficina de Esportes;0.25;0;12000;0;0;0;0;0;0
AEQ;EIXO: ACESSO À EDUCAÇÃO DE QUALIDADE;DLA;SUB-EIXO: DESPORTO E LAZER;NEX;"NEX";27;Desporto e Lazer;811;Desporto de Rendimento;238;Promoção do Esporte e do Lazer;2866;Esporte de Rendimento;3;Copa Centenário de Futebol Amador Wadson Lima;0.25;0;72500;34794.1;3812.1;249.6;34794.1;3812.1;249.6
