classif01;desc_classif01;classif02;desc_classif02;classif03;desc_classif03;funcao;nome_funcao;subfuncao;nome_subfuncao;programa;nome_programa;projativ;nome_projativ;subitem_projativ;nome_subitem_projativ;indice_proporcionalidade;valor_credito_inicial;valor_orcado;valor_empenhado;valor_liquidado;valor_pago;valor_empenhado_acumulado;valor_liquidado_acumulado;valor_pago_acumulado
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;8;Implantação do CINEMIS Santa Tereza;0,25;0;188750;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0,25;0;87750;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;10;Presépios e Folias;0,25;0;42000;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2369;Gestão da Lei Municipal de Incentivo à Cultura;1;Incentivos a Projetos Culturais;0,25;0;3175000;510702,12;429202,975;0;510702,12;429202,975;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;1;Fomento à Produção e Difusão Cultural;0,25;0;1795250;399425,1575;397889,46;397889,46;399425,1575;397889,46;397889,46
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;2;Iniciativas de Formação e Qualificação na Área Cultural;0,25;0;83750;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;EX;EX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;3;Projeto Arena da Cultura / Escola Livre de Artes;0,85;0;4999700;183830,8855;128681,619;128681,619;183830,8855;128681,619;128681,619
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;5;Promoção de Festival, Encontro e Mostra de Arte e Cultura;0,25;0;172500;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1215;Construção, Ampliação e Reforma de Unidades de Cultura;2;Espaço Multiuso do Parque Municipal Américo Rene Gianneti;0,25;0;1416989;0;0;0;0;0;0
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;2;Implantação do Espaço Cênico Alípio de Melo;0,25;0;2250;178,5;0;0;178,5;0;0
