Demonstrativo do Orçamento OCA 2º Quadrimestre 2016;;;;;;;;;;;;;;;;;;;;;;;
Eixo;Nome;Sub eixo;Nome;classif03;Função;Nome;Sub função;Nome;programa;Nome;Ação;Nome;Sub ação;Nome;indice_proporcionalidade;valor_credito_inicial;Orçado;valor_empenhado;valor_liquidado;valor_pago;Empenhado;Liquidado ;Pago
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;155;História, Memória e Patrimônio Cultural de Belo Horizonte;2872;Gestão do Fundo de Proteção do Patrimônio Cultural de BH;1;Preservação do Patrimônio Cultural;0.25;0;595,050.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;1339;Requalificação dos Espaços e Serviços da Cultura;8;Implantação do CINEMIS Santa Tereza;0.25;0;188,750.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;2;Educação Patrimonial e Preservação da Memória Coletiva;0.25;0;87,750.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;391;Patrimônio Histórico, Artístico e Arqueológico;239;Rede BH Cultural ;2375;Identificação e Valorização do Patrimônio e das Identidades Culturais;10;Presépios e Folias;0.25;0;42,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2369;Gestão da Lei Municipal de Incentivo à Cultura;1;Incentivos a Projetos Culturais;0.25;0;3,175,000.00;42,362.75;98,861.90;485,213.98;553,064.87;528,064.87;485,213.98
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;1;Fomento à Produção e Difusão Cultural;0.25;0;1,795,250.00;519,134.62;482,578.67;479,703.67;918,559.78;880,468.13;877,593.13
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;2;Iniciativas de Formação e Qualificação na Área Cultural;0.25;0;83,750.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;EX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;3;Projeto Arena da Cultura / Escola Livre de Artes;0.85;0;4,999,700.00;1,323,800.74;415,058.83;137,358.21;1,507,631.62;543,740.44;266,039.83
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;392;Difusão Cultural;154;Fomento, Incentivo e Desenvolvimento Cultural;2371;Fomento e Estímulo à Cultura;5;Promoção de Festival, Encontro e Mostra de Arte e Cultura;0.25;0;172,500.00;35,500.00;35,500.00;0.00;35,500.00;35,500.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;CUL;SUB-EIXO: Cultura;NEX;13;Cultura;392;Difusão Cultural;239;Rede BH Cultural ;1215;Construção, Ampliação e Reforma de Unidades de Cultura;2;Espaço Multiuso do Parque Municipal Américo Rene Gianneti;0.25;0;1,416,989.00;29,921.71;29,921.71;0.00;29,921.71;29,921.71;0.00
